episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/policy_inference_loss
0.0,0.0,0.0,19.105162523900574,523,10001,False,10001,523,1,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-26-15,1580901975,94.71850943565369,94.71850943565369,28459,carl-1070,192.168.0.3,94.71850943565369,10001,1,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",2.7361939633744536,0.5085900805700664,2.0914871772487778,1.0,1.0,19,69824,10001,21.97,5.022,9.98,0.003,3206.279,32.0,92.20476190476188,16.080952380952382,0.4096825396825396,0.2005034147715271,2.499999936844688e-05,1.5353355,0.8738047,3.0221925,2.4657216
6.0,0.0,0.2967581047381546,24.890274314214462,401,10001,False,20002,924,2,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-27-58,1580902078,102.37672853469849,197.09523797035217,28459,carl-1070,192.168.0.3,197.09523797035217,20002,2,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",2.844960644497081,0.4922866249256082,2.1134019791811776,0.020000000000000018,0.020000000000000018,39,145728,20002,24.378,5.576,12.151,0.003,2633.538,32.0,92.77352941176471,16.979411764705883,0.39735294117647063,0.20656365059577309,2.499999936844688e-05,1.2901715,0.3491245,2.3339002,2.0925531
4.0,0.0,0.7716049382716049,61.46913580246913,162,10002,False,30004,1086,3,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-29-42,1580902182,104.61704993247986,301.71228790283203,28459,carl-1070,192.168.0.3,301.71228790283203,30004,3,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",2.897444032917211,0.4629389631433571,2.1354300964358517,0.020000000000000018,0.020000000000000018,59,223968,30004,24.202,7.505,10.822,0.003,2957.008,32.0,92.97372262773723,17.945985401459858,0.39021897810218975,0.23337248581696782,2.499999936844688e-05,1.4149739,0.3914066,2.312598,2.0384548
2.0,0.0,0.5797101449275363,72.80434782608695,138,10003,False,40007,1224,4,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-31-29,1580902289,106.60356903076172,408.31585693359375,28459,carl-1070,192.168.0.3,408.31585693359375,40007,4,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",2.9264182378951924,0.4474831778686551,2.159447919181005,0.020000000000000018,0.020000000000000018,79,302464,40007,27.441,9.517,11.826,0.003,2706.003,32.0,93.05683453237411,18.912949640287774,0.3668345323741007,0.23693937900443565,2.499999936844688e-05,1.3366814,0.37719977,2.5747566,2.3275127
3.0,0.0,0.6013513513513513,67.58783783783784,148,10003,False,50010,1372,5,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-33-30,1580902410,121.12109017372131,529.4369471073151,28459,carl-1070,192.168.0.3,529.4369471073151,50010,5,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",3.022954270131024,0.44870651168234427,2.25244378530646,0.020000000000000018,0.020000000000000018,99,381088,50010,23.898,8.034,13.822,0.003,2315.109,32.0,95.98258064516129,20.902580645161294,0.3375483870967742,0.23703079540215266,2.499999936844688e-05,1.2356392,0.3519577,2.7391562,2.5173259
4.0,0.0,0.7257142857142858,57.222857142857144,175,10002,False,60012,1547,6,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-35-20,1580902520,110.09820890426636,639.5351560115814,28459,carl-1070,192.168.0.3,639.5351560115814,60012,6,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",3.0473353139116623,0.44726964728859553,2.253985653651997,0.020000000000000018,0.020000000000000018,119,459520,60012,24.001,6.741,12.609,0.005,2537.883,32.0,93.3944055944056,21.511188811188813,0.36034965034965033,0.23697212102830637,2.499999936844688e-05,1.209849,0.34703234,2.4219396,2.1872919
4.0,0.0,0.8544600938967136,46.985915492957744,213,10000,False,70012,1760,7,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-37-09,1580902629,109.0860869884491,748.6212430000305,28459,carl-1070,192.168.0.3,748.6212430000305,70012,7,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",3.064710354020435,0.44639865566433223,2.2486494394390415,0.020000000000000018,0.020000000000000018,139,537152,70012,26.536,6.692,11.447,0.003,2795.486,32.0,93.45602836879432,20.500709219858155,0.367517730496454,0.23693937900443565,2.499999936844688e-05,1.0386426,0.3195305,2.459461,2.2462635
5.0,0.0,1.4022346368715084,55.6927374301676,179,10001,False,80013,1939,8,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-38-59,1580902739,109.42896270751953,858.05020570755,28459,carl-1070,192.168.0.3,858.05020570755,80013,8,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",3.0758279821891987,0.44726163097854366,2.2445083780349604,0.020000000000000018,0.020000000000000018,159,615072,80013,24.451,7.086,13.912,0.003,2300.191,32.0,93.39577464788734,20.59859154929577,0.37021126760563383,0.23700619190748234,2.499999936844688e-05,0.8891465,0.190714,2.543535,2.4209638
5.0,0.0,1.9404761904761905,59.773809523809526,168,10001,False,90014,2107,9,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-40-48,1580902848,109.07845950126648,967.1286652088165,28459,carl-1070,192.168.0.3,967.1286652088165,90014,9,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",3.0861358407377666,0.44508439093531893,2.2404200076023915,0.020000000000000018,0.020000000000000018,179,692800,90014,23.835,6.529,10.252,0.003,3121.459,32.0,93.40921985815604,20.636170212765958,0.3470212765957447,0.2370084134657397,2.499999936844688e-05,0.969129,0.1995373,2.3251574,2.190333
5.0,0.0,2.233128834355828,61.374233128834355,163,10004,False,100018,2270,10,9d31eb10793d4dcdb58c0b1419a138db,2020-02-05_12-42-38,1580902958,110.63934850692749,1077.768013715744,28459,carl-1070,192.168.0.3,1077.768013715744,100018,10,0,16a63fd5,"1_custom_model=Hanabi_TargetPolicyInference,inception_steps=1",3.0981037678921335,0.44392429562681185,2.242090718290106,0.020000000000000018,0.020000000000000018,198,770688,100018,25.112,5.769,10.043,0.003,3186.404,32.0,93.48391608391609,20.700000000000003,0.36832167832167834,0.23693937900443568,2.499999936844688e-05,1.2616439,0.2644804,2.140283,1.9509298
