episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
6.0,0.0,3.227882037533512,70.91420911528151,373,70117,False,705590,5382,11,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-09-14,1585127354,35.59868240356445,655.5363130569458,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,655.5363130569458,705590,11,16,aed56662,0,41.78433047349872,15.378606748218665,5.83371443818251,0.0,0.4,4,2388480,705590,0.0,0.0,1582,3797,77.33404255319148,47.914893617021264,0.2174468085106383,0.02491040992920198,1056244,0.14,0.34698703145794946,"[0.0, 0.0, 0.0, 1.0, 1.0]",44.766,124.552,87.84,175885,587264,497658427,175885
6.0,0.0,3.4323607427055705,69.9973474801061,377,70120,False,775710,5759,12,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-09-50,1585127390,35.87977075576782,691.4160838127136,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,691.4160838127136,775710,12,16,aed56662,0,41.73116825269026,15.224911650349496,5.830490406719107,0.0,0.4,5,2630656,775710,7713.733,0.0,1740,3797,75.40625,48.416666666666664,0.2325,0.02491040992920199,1056718,0.36,0.6248199740725324,"[0.0, 0.0, 0.0, 1.0, 2.0]",42.143,128.549,95.055,194723,647168,551495073,194723
6.0,0.0,3.497191011235955,70.22752808988764,356,69310,False,845020,6115,13,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-10-26,1585127426,35.409942626953125,726.8260264396667,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,726.8260264396667,845020,13,16,aed56662,0,41.73525383767275,15.086610913115848,5.832910193722193,0.0,0.4,5,2874368,845020,6610.886,8398.943,1892,3797,77.02765957446807,48.93617021276595,0.21319148936170212,0.02491040992920198,1057194,0.1,0.3,"[0.0, 0.0, 0.0, 0.10000000000000142, 1.0]",46.295,131.317,96.716,212344,707584,601794172,212344
9.0,0.0,3.488,70.60266666666666,375,70527,False,915547,6490,14,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-11-01,1585127461,35.415297508239746,762.2413239479065,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,762.2413239479065,915547,14,16,aed56662,0,41.7142201150961,14.95952805179717,5.816975959696252,0.0,0.4,6,3117568,915547,0.0,0.0,2053,3797,76.98723404255321,49.634042553191506,0.19808510638297874,0.02491040992920198,1057668,0.56,0.7787168933572715,"[0.0, 0.0, 0.0, 2.0, 3.0]",43.692,128.496,89.984,228768,768000,648876764,228768
8.0,0.0,3.545691906005222,69.01566579634465,383,70522,False,986069,6873,15,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-11-37,1585127497,35.719104051589966,797.9604279994965,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,797.9604279994965,986069,15,16,aed56662,0,41.68924272820539,14.8497675000826,5.805672080903785,0.0,0.4,6,3357184,986069,0.0,0.0,2210,3797,75.59375,50.37083333333334,0.22125000000000003,0.02491040992920199,1058137,0.32,0.5455272678794342,"[0.0, 0.0, 0.0, 1.0, 2.0]",42.047,131.483,95.343,248015,827392,703558841,248015
8.0,0.0,3.5412371134020617,68.86340206185567,388,70528,False,1056597,7261,16,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-12-13,1585127533,35.9261040687561,833.8865320682526,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,833.8865320682526,1056597,16,16,aed56662,0,41.691935205067,14.754799103272548,5.799014685466586,0.0,0.4,7,3597312,1056597,0.0,93944.777,2369,3797,75.37708333333333,50.897916666666674,0.21916666666666665,0.02491040992920199,1058605,0.22,0.41424630354415964,"[0.0, 0.0, 0.0, 1.0, 1.0]",45.25,125.298,89.651,265648,887296,754042556,265648
6.0,0.0,3.6467532467532466,68.63896103896104,385,70515,False,1127112,7646,17,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-12-49,1585127569,35.9401113986969,869.8266434669495,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,869.8266434669495,1127112,17,16,aed56662,0,41.697575599552536,14.670821960992559,5.793490966716294,0.0,0.4,7,3838976,1127112,0.0,0.0,2525,3797,75.28125,51.37083333333334,0.18541666666666667,0.02491040992920199,1059077,0.42,0.5688585061331157,"[0.0, 0.0, 0.0, 1.0, 2.0]",37.244,129.6,92.209,282483,948224,802137721,282483
6.0,0.0,3.7075718015665795,69.13054830287206,383,71349,False,1198461,8029,18,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-13-25,1585127605,35.998414039611816,905.8250575065613,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,905.8250575065613,1198461,18,16,aed56662,0,41.68926823072274,14.61673585376975,5.788966148930329,0.0,0.4,8,4079104,1198461,0.0,0.0,2682,3797,75.11875,51.975,0.19729166666666667,0.02491040992920199,1059547,0.3,0.49999999999999994,"[0.0, 0.0, 0.0, 1.0, 2.0]",45.487,125.247,90.994,298904,1008640,849097400,298904
7.0,0.0,3.7135416666666665,68.78645833333333,384,70114,False,1268575,8413,19,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-14-01,1585127641,35.72322344779968,941.548280954361,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,941.548280954361,1268575,19,16,aed56662,0,41.67237660716125,14.558134943977683,5.784777965923195,0.0,0.4,8,4320256,1268575,0.0,0.0,2841,3797,76.72978723404256,52.5148936170213,0.18851063829787232,0.02491040992920198,1060018,0.34,0.6200000000000001,"[0.0, 0.0, 0.0, 1.0, 3.0]",42.961,118.76,90.063,316927,1068544,900759289,316927
8.0,0.0,3.683937823834197,68.68911917098445,386,70523,False,1339098,8799,20,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-14-37,1585127677,35.983049392700195,977.5313303470612,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,977.5313303470612,1339098,20,16,aed56662,0,41.66643808594445,14.496547925212166,5.778770843829225,0.0,0.4,9,4555264,1339098,0.0,0.0,3007,3797,76.11041666666667,53.07708333333333,0.2147916666666667,0.02491040992920199,1060476,0.18,0.38418745424597095,"[0.0, 0.0, 0.0, 1.0, 1.0]",42.949,132.284,92.759,331342,1127936,942406602,331342
