episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/policy_inference_loss
0.0,0.0,0.0,18.858490566037737,530,10000,False,10000,530,1,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_09-55-32,1584435332,89.14563465118408,89.14563465118408,27842,carl-1070,192.168.0.3,89.14563465118408,10000,1,0,d63b6441,1_aux_loss_formula=0.05,2.6795230880349896,0.48179771365379614,2.061781336049564,1.0,1.0,19,69824,10000,23.237,6.33,11.072,0.003,2890.144,32.0,92.28135593220338,31.482203389830506,0.36347457627118646,0.2787880812957873,2.499999936844688e-05,1.790659,1.0193858,1.1383345,3.3983612
3.0,0.0,0.3323529411764706,29.261764705882353,340,10001,False,20001,870,2,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_09-57-07,1584435427,94.71759939193726,183.86323404312134,27842,carl-1070,192.168.0.3,183.86323404312134,20001,2,0,d63b6441,1_aux_loss_formula=0.05,2.7842811750370506,0.4574238315459283,2.0606544487954856,0.020000000000000018,0.020000000000000018,39,146080,20001,19.708,5.621,12.026,0.003,2660.854,32.0,92.27642276422765,31.865040650406502,0.38414634146341464,0.27895515032035484,2.499999936844688e-05,1.3122532,0.37851873,0.51240414,3.0562265
3.0,0.0,0.7277227722772277,49.59405940594059,202,10002,False,30003,1072,3,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_09-58-46,1584435526,98.86933135986328,282.7325654029846,27842,carl-1070,192.168.0.3,282.7325654029846,30003,3,0,d63b6441,1_aux_loss_formula=0.05,2.8715452993905712,0.4355515571477537,2.080855241010781,0.020000000000000018,0.020000000000000018,59,223648,30003,26.828,4.848,10.213,0.003,3133.183,32.0,92.32461538461538,32.28230769230769,0.37546153846153846,0.2789788452060507,2.499999936844688e-05,1.2804613,0.3563512,0.4912998,3.055323
3.0,0.0,1.2466666666666666,66.91333333333333,150,10001,False,40004,1222,4,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-00-26,1584435626,100.04107403755188,382.7736394405365,27842,carl-1070,192.168.0.3,382.7736394405365,40004,4,0,d63b6441,1_aux_loss_formula=0.05,2.9142615890960606,0.4215365206091624,2.095355311290571,0.020000000000000018,0.020000000000000018,79,302112,40004,26.209,7.942,14.753,0.003,2168.983,32.0,92.2376923076923,32.667692307692306,0.3446923076923077,0.2790793115214013,2.499999936844688e-05,1.3781254,0.37581748,0.49999905,2.8594491
5.0,0.0,1.7214285714285715,71.15714285714286,140,10002,False,50006,1362,5,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-02-06,1584435726,100.2789659500122,483.0526053905487,27842,carl-1070,192.168.0.3,483.0526053905487,50006,5,0,d63b6441,1_aux_loss_formula=0.05,2.9440277029432975,0.4112089378694085,2.099740655392175,0.020000000000000018,0.020000000000000018,99,380640,50006,24.306,6.427,9.86,0.003,3245.486,32.0,92.23461538461538,33.06692307692308,0.36315384615384616,0.2790082268643136,2.499999936844688e-05,1.2094299,0.32546324,0.42646563,2.3455114
4.0,0.0,2.0489510489510487,69.78321678321679,143,10003,False,60009,1505,6,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-03-47,1584435827,101.16382384300232,584.216429233551,27842,carl-1070,192.168.0.3,584.216429233551,60009,6,0,d63b6441,1_aux_loss_formula=0.05,2.9659931596094244,0.4076867321841315,2.107287415454923,0.020000000000000018,0.020000000000000018,119,458752,60009,22.559,4.672,11.587,0.003,2761.773,32.0,92.4473282442748,33.31526717557253,0.3719847328244275,0.2790783637259734,2.499999936844688e-05,1.3278205,0.37227178,0.45003587,1.9275542
7.0,0.0,2.717391304347826,72.94927536231884,138,10003,False,70012,1643,7,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-05-28,1584435928,100.77819633483887,684.9946255683899,27842,carl-1070,192.168.0.3,684.9946255683899,70012,7,0,d63b6441,1_aux_loss_formula=0.05,2.9770831698364484,0.4029403554728525,2.112670949706212,0.020000000000000018,0.020000000000000018,139,536672,70012,26.45,5.873,11.096,0.003,2883.891,32.0,92.1526717557252,33.30000000000001,0.382442748091603,0.27897019928592653,2.499999936844688e-05,1.2720644,0.33367163,0.4021055,1.7023492
7.0,0.0,2.9714285714285715,71.15,140,10001,False,80013,1783,8,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-07-09,1584436029,100.51814007759094,785.5127656459808,27842,carl-1070,192.168.0.3,785.5127656459808,80013,8,0,d63b6441,1_aux_loss_formula=0.05,2.9860589103098514,0.3982178533241267,2.112996964521573,0.020000000000000018,0.020000000000000018,159,614752,80013,20.961,4.833,11.418,0.003,2802.479,32.0,92.34153846153848,33.30153846153847,0.36061538461538456,0.27895515032035484,2.499999936844688e-05,1.2515674,0.32568735,0.40123954,1.8367314
6.0,0.0,3.115107913669065,72.2158273381295,139,10002,False,90015,1922,9,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-08-50,1584436130,101.64623975753784,887.1590054035187,27842,carl-1070,192.168.0.3,887.1590054035187,90015,9,0,d63b6441,1_aux_loss_formula=0.05,2.995812554828174,0.39749043327286376,2.1185738142070742,0.020000000000000018,0.020000000000000018,179,692768,90015,25.045,4.534,10.224,0.003,3130.019,32.0,92.50075757575758,33.33712121212122,0.3692424242424242,0.2790167570231641,2.499999936844688e-05,1.1469848,0.29350325,0.3671249,1.7659359
7.0,0.0,3.2797202797202796,69.97202797202797,143,10002,False,100017,2065,10,43db6d4ff4d94e3f8b5f0489cfcbf4a4,2020-03-17_10-10-33,1584436233,102.22893190383911,989.3879373073578,27842,carl-1070,192.168.0.3,989.3879373073578,100017,10,0,d63b6441,1_aux_loss_formula=0.05,3.0075232796541194,0.395410166074597,2.1235942173144307,0.020000000000000018,0.020000000000000018,199,770944,100017,20.777,4.399,10.295,0.003,3108.18,32.0,92.49924242424241,33.34242424242425,0.338030303030303,0.27901489015338204,2.499999936844688e-05,1.259764,0.30275524,0.38425517,1.9327538
