episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss
0.0,0.0,0.0,19.061068702290076,524,10001,False,10001,524,1,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_11-48-34,1584182914,117.1973352432251,117.1973352432251,23509,diufpc29,134.21.215.107,117.1973352432251,10001,1,0,0f119e68,0,3.7326325660106954,0.6555741694734907,2.2581701455028105,1.0,1.0,19,70112,10001,26.583,7.874,11.382,0.008,2811.543,32.0,79.81400000000001,14.805333333333335,0.0,0.014167795983737836,0.0,0.014164305949008495,0.0,0.014164305949008495,0.08646666666666666,0.10613786591123701,2.499999936844688e-05,1.254481,0.50651246
5.0,0.0,0.6075949367088608,42.21097046413502,237,10000,False,20001,761,2,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_11-50-38,1584183038,124.71395897865295,241.91129422187805,23509,diufpc29,134.21.215.107,241.91129422187805,20001,2,0,0f119e68,0,3.8516391071490257,0.6044057809362051,2.243670461416781,0.020000000000000018,0.020000000000000018,39,147904,20001,26.893,11.325,12.46,0.005,2568.225,32.0,79.56037735849057,14.713836477987421,0.0,0.014167795983737836,0.0,0.014164305949008494,0.0,0.014164305949008494,0.08691823899371069,0.10617071067865497,2.499999936844688e-05,1.1671259,0.39042324
3.0,0.0,0.6686390532544378,59.17751479289941,169,10001,False,30002,930,3,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_11-52-46,1584183166,127.46607661247253,369.3773708343506,23509,diufpc29,134.21.215.107,369.3773708343506,30002,3,0,0f119e68,0,3.9304392358298967,0.5814775835472146,2.250356196816871,0.020000000000000018,0.020000000000000018,59,226016,30002,33.272,8.59,12.333,0.005,2594.562,32.0,80.0360248447205,14.986956521739128,0.0,0.014167795983737836,0.0,0.014164305949008499,0.0,0.014164305949008499,0.08409937888198757,0.106170710678655,2.499999936844688e-05,0.97048116,0.2603264
3.0,0.0,0.7533333333333333,66.64666666666666,150,10001,False,40003,1080,4,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_11-54-55,1584183295,129.1318678855896,498.5092387199402,23509,diufpc29,134.21.215.107,498.5092387199402,40003,4,0,0f119e68,0,3.9760628836441043,0.569298156102101,2.2590899993685185,0.020000000000000018,0.020000000000000018,79,304448,40003,24.179,11.702,12.733,0.005,2513.172,32.0,79.94382716049384,15.140740740740739,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.08351851851851852,0.106170710678655,2.499999936844688e-05,1.1979151,0.30547732
5.0,0.0,0.75,60.69512195121951,164,10002,False,50005,1244,5,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_11-56-52,1584183412,117.1559886932373,615.6652274131775,23509,diufpc29,134.21.215.107,615.6652274131775,50005,5,0,0f119e68,0,3.934589248796362,0.5538848998314947,2.188239930670512,0.020000000000000018,0.020000000000000018,99,382592,50005,26.332,10.124,16.923,0.008,1890.875,32.0,63.14081632653062,13.922448979591838,0.0,0.013712716822592043,0.00034013605442176874,0.013709338890131737,0.0,0.013709338890131737,0.09,0.10571574361977826,2.499999936844688e-05,1.1215472,0.2550259
4.0,0.0,0.8562874251497006,60.041916167664674,167,10003,False,60008,1411,6,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_11-59-02,1584183542,130.10386872291565,745.7690961360931,23509,diufpc29,134.21.215.107,745.7690961360931,60008,6,0,0f119e68,0,3.9643304575079945,0.55274630533666,2.2094144246216367,0.020000000000000018,0.020000000000000018,119,460832,60008,27.656,7.948,13.613,0.005,2350.668,32.0,80.1148148148148,14.986419753086421,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.0804320987654321,0.106170710678655,2.499999936844688e-05,0.9243551,0.15024579
4.0,0.0,0.921875,52.270833333333336,192,10000,False,70008,1603,7,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_12-01-13,1584183673,131.0502119064331,876.8193080425262,23509,diufpc29,134.21.215.107,876.8193080425262,70008,7,0,0f119e68,0,3.9892941006713465,0.5539399429381878,2.2268903593958997,0.020000000000000018,0.020000000000000018,139,538848,70008,34.635,9.611,13.509,0.005,2368.835,32.0,80.15548780487805,15.434756097560976,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.08109756097560974,0.10617071067865498,2.499999936844688e-05,0.86148024,0.14177155
5.0,0.0,0.9943181818181818,56.77840909090909,176,10001,False,80009,1779,8,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_12-03-25,1584183805,131.84464573860168,1008.6639537811279,23509,diufpc29,134.21.215.107,1008.6639537811279,80009,8,0,0f119e68,0,4.0132265329441426,0.5536125026680615,2.2447936877224843,0.020000000000000018,0.020000000000000018,159,616992,80009,32.568,8.322,11.835,0.005,2703.8,32.0,80.45853658536585,15.804878048780488,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.09304878048780489,0.11650179194241753,2.499999936844688e-05,1.1432922,0.19204342
5.0,0.0,1.6802721088435375,67.71428571428571,147,10002,False,90011,1926,9,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_12-05-38,1584183938,132.62290406227112,1141.286857843399,23509,diufpc29,134.21.215.107,1141.286857843399,90011,9,0,0f119e68,0,4.0248416181684155,0.5515576865695181,2.2580946947888245,0.020000000000000018,0.020000000000000018,179,695264,90011,27.719,8.712,13.56,0.005,2359.959,32.0,81.2660606060606,16.98424242424242,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.15575757575757576,0.16639980293139556,2.499999936844688e-05,1.0678587,0.17764653
5.0,0.0,1.9929577464788732,70.54225352112677,142,10001,False,100012,2068,10,d08d34307bce4b98a4e81fb3a336bf4c,2020-03-14_12-07-51,1584184071,133.119131565094,1274.405989408493,23509,diufpc29,134.21.215.107,1274.405989408493,100012,10,0,0f119e68,0,4.036840928056643,0.5490783762310129,2.2722235075513226,0.020000000000000018,0.020000000000000018,198,773248,100012,24.91,8.218,16.05,0.006,1993.736,32.0,81.48975903614459,17.093373493975903,0.0,0.014167795983737836,0.0,0.014164305949008495,0.0,0.014164305949008495,0.14903614457831324,0.16639980293139556,2.499999936844688e-05,1.0901828,0.18060917
