episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
4.0,0.0,1.0373001776198933,58.61278863232682,563,97832,False,988237,8875,11,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_19-56-46,1585079806,35.277597427368164,677.5687568187714,1517,ray-apex-gpu-head-46595829,10.128.15.222,677.5687568187714,988237,11,24,eb394412,0,41.71115739763783,16.35125180306776,5.825060830410986,0.0,0.4,4,2388480,988237,0.0,0.0,2096,7327,77.38510638297873,50.442553191489345,0.2206382978723404,0.02491040992920198,1096083,0.3,0.5,"[0.0, 0.0, 0.0, 1.0, 2.0]",40.663,124.668,91.13,257233,590336,707073627,257233
6.0,0.0,1.1974405850091407,61.36014625228519,547,98238,False,1086475,9422,12,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_19-57-21,1585079841,35.055042028427124,712.6237988471985,1517,ray-apex-gpu-head-46595829,10.128.15.222,712.6237988471985,1086475,12,24,eb394412,0,41.63670804807469,16.133282377787896,5.818014101107838,0.0,0.4,5,2626560,1086475,0.0,0.0,2313,7327,78.87173913043478,51.18913043478261,0.22043478260869567,0.02491040992920198,1096549,0.2,0.4,"[0.0, 0.0, 0.0, 1.0, 1.0]",40.155,122.008,97.875,280080,651264,770711416,280080
5.0,0.0,1.2990825688073395,62.01100917431193,545,99028,False,1185503,9967,13,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_19-57-57,1585079877,35.3684196472168,747.9922184944153,1517,ray-apex-gpu-head-46595829,10.128.15.222,747.9922184944153,1185503,13,24,eb394412,0,41.60779884417815,15.932065561499988,5.80693822478677,0.0,0.4,5,2863104,1185503,0.0,0.0,2530,7327,77.02765957446809,51.91702127659571,0.22872340425531915,0.02491040992920198,1097010,0.26,0.482078831727758,"[0.0, 0.0, 0.0, 1.0, 2.0]",40.709,123.83,82.262,302120,710656,832110628,302120
5.0,0.0,1.4630281690140845,62.78169014084507,568,100226,False,1285729,10535,14,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_19-58-32,1585079912,35.53237175941467,783.52459025383,1517,ray-apex-gpu-head-46595829,10.128.15.222,783.52459025383,1285729,14,24,eb394412,0,41.557344685365216,15.751388664477174,5.790262149297256,0.0,0.4,6,3101696,1285729,0.0,0.0,2747,7327,77.38297872340425,52.64893617021278,0.20042553191489365,0.02491040992920198,1097476,0.16,0.36660605559646714,"[0.0, 0.0, 0.0, 1.0, 1.0]",33.461,126.15,83.009,325760,771072,898307892,325760
5.0,0.0,1.6409807355516637,60.749562171628725,571,100991,False,1386720,11106,15,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_19-59-08,1585079948,35.62966847419739,819.1542587280273,1517,ray-apex-gpu-head-46595829,10.128.15.222,819.1542587280273,1386720,15,24,eb394412,0,41.521597663538905,15.579136627466088,5.77495796162408,0.0,0.4,6,3343360,1386720,0.0,20003.76,2965,7327,77.32978723404256,53.46595744680848,0.19425531914893618,0.02491040992920198,1097948,0.2,0.4,"[0.0, 0.0, 0.0, 1.0, 1.0]",34.498,119.973,90.794,354241,831488,978604607,354241
8.0,0.0,2.3273092369477912,69.23493975903614,498,100593,False,1487313,11604,16,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_19-59-44,1585079984,35.69297814369202,854.8472368717194,1517,ray-apex-gpu-head-46595829,10.128.15.222,854.8472368717194,1487313,16,24,eb394412,0,41.523177495698974,15.422968382209868,5.769518734510329,0.0,0.4,7,3581952,1487313,5081.911,6456.423,3185,7327,75.86041666666667,54.18125,0.20395833333333332,0.02491040992920199,1098415,0.2,0.4472135954999579,"[0.0, 0.0, 0.0, 1.0, 2.0]",40.816,125.132,90.203,378687,891392,1047879749,378687
6.0,0.0,2.7216699801192843,69.95626242544732,503,101784,False,1589097,12107,17,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_20-00-20,1585080020,36.015766859054565,890.8630037307739,1517,ray-apex-gpu-head-46595829,10.128.15.222,890.8630037307739,1589097,17,24,eb394412,0,41.522636286244705,15.341860232362158,5.771927190452067,0.0,0.4,7,3823104,1589097,11251.773,0.0,3420,7327,75.73125,55.03125,0.18416666666666667,0.02491040992920199,1098885,0.22,0.46,"[0.0, 0.0, 0.0, 1.0, 2.0]",44.668,132.42,92.477,403942,952320,1119449050,403942
6.0,0.0,2.858252427184466,68.68155339805826,515,102219,False,1691316,12622,18,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_20-00-56,1585080056,35.97338628768921,926.8363900184631,1517,ray-apex-gpu-head-46595829,10.128.15.222,926.8363900184631,1691316,18,24,eb394412,0,41.50953841932184,15.24581339523246,5.772548676198441,0.0,0.4,8,4063232,1691316,0.0,46615.517,3644,7327,75.82083333333334,55.82500000000001,0.18458333333333332,0.02491040992920199,1099356,0.3,0.49999999999999994,"[0.0, 0.0, 0.0, 1.0, 2.0]",35.42,121.969,91.653,429621,1013248,1193059051,429621
7.0,0.0,2.8844621513944224,69.47410358565737,502,102194,False,1793510,13124,19,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_20-01-31,1585080091,35.50925421714783,962.345644235611,1517,ray-apex-gpu-head-46595829,10.128.15.222,962.345644235611,1793510,19,24,eb394412,0,41.470680783608294,15.09875752559053,5.760789327580577,0.0,0.4,8,4302336,1793510,0.0,0.0,3872,7327,77.00212765957447,56.57872340425534,0.14638297872340425,0.02491040992920198,1099821,0.3,0.49999999999999994,"[0.0, 0.0, 0.0, 1.0, 2.0]",39.035,130.683,92.435,454878,1072640,1265915246,454878
7.0,0.0,3.0292397660818713,68.35867446393762,513,102204,False,1895714,13637,20,ee4a5c2d8cec4721b209bc068ffca885,2020-03-24_20-02-07,1585080127,35.53383946418762,997.8794836997986,1517,ray-apex-gpu-head-46595829,10.128.15.222,997.8794836997986,1895714,20,24,eb394412,0,41.457034331438756,15.047208235138138,5.76007101032637,0.0,0.4,9,4536832,1895714,7400.998,9426.147,4104,7327,77.81702127659574,57.46170212765955,0.20531914893617023,0.02491040992920198,1100279,0.18,0.4331281565541543,"[0.0, 0.0, 0.0, 1.0, 2.0]",34.718,133.309,94.293,482542,1131520,1344988222,482542
