episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss
0.0,0.0,0.0,18.950757575757574,528,10006,False,10006,528,1,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-03-51,1580990631,106.25756335258484,106.25756335258484,28686,diufpc29,134.21.215.107,106.25756335258484,10006,1,0,7912ee8e,2_turn_stacking=6,2.539764075318786,0.5811305745112332,1.345581377947546,1.0,1.0,19,69792,10006,23.235,12.226,14.423,0.005,2218.644,32.0,36.94428571428572,71.99642857142857,0.5428571428571428,0.9817666625600591,0.0,0.014164305949008497,0.0,0.014164305949008497,0.4202857142857143,0.33867823271690745,2.499999936844688e-05,1.2233112,0.3848154
4.0,0.0,0.10727969348659004,19.088122605363985,522,10001,False,20007,1050,2,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-05-50,1580990750,118.74050402641296,224.9980673789978,28686,diufpc29,134.21.215.107,224.9980673789978,20007,2,0,7912ee8e,2_turn_stacking=6,2.67383898700304,0.5993267375962629,1.412366666236707,0.020000000000000018,0.020000000000000018,39,144480,20007,21.147,12.133,14.048,0.004,2277.962,32.0,48.87354838709677,74.6541935483871,0.5721935483870968,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5681935483870968,0.41088804039906396,2.499999936844688e-05,1.2145731,0.42401874
4.0,0.0,0.7440476190476191,59.76190476190476,168,10004,False,30011,1218,3,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-07-54,1580990874,123.73740649223328,348.7354738712311,28686,diufpc29,134.21.215.107,348.7354738712311,30011,3,0,7912ee8e,2_turn_stacking=6,2.7614660150266457,0.5697435445434429,1.4385880380198695,0.020000000000000018,0.020000000000000018,59,222656,30011,28.218,12.202,14.088,0.005,2271.493,32.0,48.9525,75.56375,0.5585,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5695,0.4108880403990639,2.499999936844688e-05,1.0515745,0.3304097
5.0,0.0,0.823170731707317,60.701219512195124,164,10003,False,40014,1382,4,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-09-59,1580990999,125.18651533126831,473.9219892024994,28686,diufpc29,134.21.215.107,473.9219892024994,40014,4,0,7912ee8e,2_turn_stacking=6,2.8232766196278414,0.5590170718685928,1.4426551948774997,0.020000000000000018,0.020000000000000018,79,300800,40014,24.758,12.268,13.452,0.005,2378.912,32.0,48.948125000000005,76.503125,0.541875,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5461875,0.4108880403990639,2.499999936844688e-05,1.1352851,0.3375975
3.0,0.0,0.9150326797385621,65.42483660130719,153,10002,False,50016,1535,5,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-12-06,1580991126,126.91913104057312,600.8411202430725,28686,diufpc29,134.21.215.107,600.8411202430725,50016,5,0,7912ee8e,2_turn_stacking=6,2.8582215690460266,0.5509352598224627,1.4543709303082968,0.020000000000000018,0.020000000000000018,99,379168,50016,21.555,12.304,14.023,0.005,2281.97,32.0,49.025,77.15,0.5136875,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.548625,0.4108880403990639,2.499999936844688e-05,1.197947,0.31907368
4.0,0.0,0.9932885906040269,67.31543624161074,149,10002,False,60018,1684,6,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-14-14,1580991254,128.1994833946228,729.0406036376953,28686,diufpc29,134.21.215.107,729.0406036376953,60018,6,0,7912ee8e,2_turn_stacking=6,2.8949876384691255,0.5462156896498076,1.466503687023437,0.020000000000000018,0.020000000000000018,119,457440,60018,29.062,13.586,13.56,0.005,2359.968,32.0,49.29192546583851,77.62608695652173,0.5791304347826087,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5396273291925465,0.41088804039906396,2.499999936844688e-05,1.194977,0.22550696
5.0,0.0,1.1656050955414012,63.796178343949045,157,10003,False,70021,1841,7,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-16-22,1580991382,127.70727896690369,856.747882604599,28686,diufpc29,134.21.215.107,856.747882604599,70021,7,0,7912ee8e,2_turn_stacking=6,2.912261291905522,0.5443735262418152,1.4777120575936582,0.020000000000000018,0.020000000000000018,139,535712,70021,21.937,12.22,17.289,0.006,1850.878,32.0,48.95408805031447,77.98553459119496,0.6052830188679245,0.9817666625600591,0.0,0.014164305949008494,0.0,0.014164305949008494,0.5383647798742138,0.41088804039906407,2.499999936844688e-05,1.1141164,0.18012893
4.0,0.0,1.993103448275862,68.7448275862069,145,10001,False,80022,1986,8,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-18-31,1580991511,129.36041259765625,986.1082952022552,28686,diufpc29,134.21.215.107,986.1082952022552,80022,8,0,7912ee8e,2_turn_stacking=6,2.937280782872573,0.5458865285953545,1.4822133058812008,0.020000000000000018,0.020000000000000018,159,614336,80022,29.863,14.093,14.173,0.005,2257.783,32.0,49.13478260869565,78.00559006211179,0.5503105590062112,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5361490683229814,0.41088804039906396,2.499999936844688e-05,1.0594527,0.16523731
6.0,0.0,2.1733333333333333,66.84,150,10002,False,90024,2136,9,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-20-40,1580991640,129.19719743728638,1115.3054926395416,28686,diufpc29,134.21.215.107,1115.3054926395416,90024,9,0,7912ee8e,2_turn_stacking=6,2.950757952465678,0.5437049362762947,1.489928179507137,0.020000000000000018,0.020000000000000018,179,692800,90024,27.145,13.457,14.436,0.004,2216.72,32.0,48.95527950310559,78.05838509316771,0.5329192546583851,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5288198757763976,0.41088804039906396,2.499999936844688e-05,1.083356,0.15291
6.0,0.0,2.442953020134228,67.12751677852349,149,10002,False,100026,2285,10,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-22-50,1580991770,129.14107871055603,1244.4465713500977,28686,diufpc29,134.21.215.107,1244.4465713500977,100026,10,0,7912ee8e,2_turn_stacking=6,2.9607559840202233,0.5421206365522595,1.4944888753413343,0.020000000000000018,0.020000000000000018,199,771072,100026,27.697,12.81,13.014,0.005,2458.894,32.0,49.18875,78.1575,0.5606249999999999,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5378125,0.4108880403990639,2.499999936844688e-05,1.0382507,0.14834444
6.0,0.0,2.643835616438356,68.36986301369863,146,10002,False,110028,2431,11,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-24-58,1580991898,128.2876307964325,1372.7342021465302,28686,diufpc29,134.21.215.107,1372.7342021465302,110028,11,0,7912ee8e,2_turn_stacking=6,2.9687788405181945,0.5400543974221438,1.4979472570473396,0.020000000000000018,0.020000000000000018,218,849216,110028,22.567,16.7,15.173,0.005,2109.032,32.0,49.17375,78.04125,0.5195624999999999,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5313125,0.4108880403990639,2.499999936844688e-05,1.2469974,0.16030926
7.0,0.0,2.5774647887323945,70.32394366197182,142,10002,False,120030,2573,12,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-27-07,1580992027,129.64226627349854,1502.3764684200287,28686,diufpc29,134.21.215.107,1502.3764684200287,120030,12,0,7912ee8e,2_turn_stacking=6,2.9797751450229972,0.5409710548321175,1.5020000006422127,0.020000000000000018,0.020000000000000018,238,927488,120030,24.08,13.904,14.973,0.004,2137.136,32.0,49.02919254658386,78.12795031055902,0.48366459627329195,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5324223602484472,0.41088804039906396,2.499999936844688e-05,1.3459275,0.14561659
6.0,0.0,2.6619718309859155,70.43661971830986,142,10002,False,130032,2715,13,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-29-18,1580992158,130.19893312454224,1632.575401544571,28686,diufpc29,134.21.215.107,1632.575401544571,130032,13,0,7912ee8e,2_turn_stacking=6,2.988324035460419,0.5412569246676705,1.506619746933868,0.020000000000000018,0.020000000000000018,258,1005728,130032,21.756,16.539,14.256,0.005,2244.639,32.0,49.19320987654321,78.10246913580247,0.5887037037037037,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5304938271604938,0.41088804039906396,2.499999936844688e-05,1.4040594,0.13599083
7.0,0.0,2.910958904109589,68.56164383561644,146,10002,False,140034,2861,14,ebf5796798204ac6baaf42953296e80d,2020-02-06_13-31-27,1580992287,129.08753538131714,1761.662936925888,28686,diufpc29,134.21.215.107,1761.662936925888,140034,14,0,7912ee8e,2_turn_stacking=6,2.99393982586874,0.5433151117522949,1.5111336012552217,0.020000000000000018,0.020000000000000018,278,1083904,140034,24.562,14.079,13.707,0.005,2334.554,32.0,48.88875,78.096875,0.5313125,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.53625,0.4108880403990639,2.499999936844688e-05,1.1689323,0.11366745
