episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss
0.0,0.0,0.0,19.900398406374503,502,10003,False,10003,502,1,526491a15b97474b8bf191955c634177,2020-02-06_13-03-32,1580990612,90.00876045227051,90.00876045227051,28692,diufpc29,134.21.215.107,90.00876045227051,10003,1,0,7912ee8d,1_turn_stacking=3,2.4429933405594353,0.4816819371383269,1.4984063767667317,1.0,1.0,19,70560,10003,25.75,9.87,11.803,0.004,2711.25,32.0,34.46890756302521,71.50168067226892,0.60890756302521,0.9817666625600591,0.0,0.014164305949008494,0.0,0.014164305949008494,0.3951260504201681,0.32009985913320876,2.499999936844688e-05,1.2562745,0.5211158
4.0,0.0,0.03636363636363636,22.76818181818182,440,10006,False,20009,942,2,526491a15b97474b8bf191955c634177,2020-02-06_13-05-16,1580990716,103.92741990089417,193.93618035316467,28692,diufpc29,134.21.215.107,193.93618035316467,20009,2,0,7912ee8d,1_turn_stacking=3,2.6165689597903947,0.49638112004845775,1.602727183991629,0.020000000000000018,0.020000000000000018,39,145536,20009,24.14,8.927,11.266,0.004,2840.334,32.0,48.74632352941176,74.45661764705882,0.5628676470588236,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5741911764705883,0.4108155887062302,2.499999936844688e-05,1.0698063,0.43070462
3.0,0.0,0.4472361809045226,49.984924623115575,199,10003,False,30012,1141,3,526491a15b97474b8bf191955c634177,2020-02-06_13-07-03,1580990823,107.14844107627869,301.08462142944336,28692,diufpc29,134.21.215.107,301.08462142944336,30012,3,0,7912ee8d,1_turn_stacking=3,2.706242141438953,0.4743932327354894,1.647525091669453,0.020000000000000018,0.020000000000000018,59,223072,30012,23.961,8.691,12.921,0.004,2476.589,32.0,48.878571428571426,75.25428571428573,0.5625714285714285,0.9817666625600591,0.0,0.014164305949008497,0.0,0.014164305949008497,0.567,0.410888040399064,2.499999936844688e-05,1.2440839,0.47453046
4.0,0.0,1.2137931034482758,69.27586206896552,145,10001,False,40013,1286,4,526491a15b97474b8bf191955c634177,2020-02-06_13-08-53,1580990933,109.91293692588806,410.9975583553314,28692,diufpc29,134.21.215.107,410.9975583553314,40013,4,0,7912ee8d,1_turn_stacking=3,2.769412828039294,0.45989539624035036,1.6735122279909704,0.020000000000000018,0.020000000000000018,79,301344,40013,25.137,9.863,12.044,0.005,2657.009,32.0,48.948226950354616,76.10000000000001,0.5437588652482269,0.9817666625600591,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5518439716312057,0.41088804039906396,2.499999936844688e-05,1.0726035,0.35522372
4.0,0.0,1.6413793103448275,69.07586206896552,145,10004,False,50017,1431,5,526491a15b97474b8bf191955c634177,2020-02-06_13-10-45,1580991045,111.74008870124817,522.7376470565796,28692,diufpc29,134.21.215.107,522.7376470565796,50017,5,0,7912ee8d,1_turn_stacking=3,2.818174310324515,0.45372811056990353,1.6929837529227105,0.020000000000000018,0.020000000000000018,99,379744,50017,28.691,8.986,10.832,0.004,2954.275,32.0,49.07622377622378,76.79510489510491,0.5220979020979021,0.9817666625600591,0.0,0.014164305949008497,0.0,0.014164305949008497,0.556013986013986,0.410888040399064,2.499999936844688e-05,1.2659118,0.38952935
5.0,0.0,2.1347517730496453,70.77304964539007,141,10003,False,60020,1572,6,526491a15b97474b8bf191955c634177,2020-02-06_13-12-39,1580991159,113.83781147003174,636.5754585266113,28692,diufpc29,134.21.215.107,636.5754585266113,60020,6,0,7912ee8d,1_turn_stacking=3,2.860658449696395,0.45209168974723735,1.7116431250630038,0.020000000000000018,0.020000000000000018,119,458208,60020,24.263,10.095,13.717,0.005,2332.915,32.0,48.8736111111111,77.31458333333333,0.5254166666666666,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5430555555555555,0.41088804039906396,2.499999936844688e-05,1.1573987,0.3175307
5.0,0.0,2.6153846153846154,69.95104895104895,143,10003,False,70023,1715,7,526491a15b97474b8bf191955c634177,2020-02-06_13-14-32,1580991272,113.56003308296204,750.1354916095734,28692,diufpc29,134.21.215.107,750.1354916095734,70023,7,0,7912ee8d,1_turn_stacking=3,2.888452985124753,0.4475618986134419,1.7200885721335464,0.020000000000000018,0.020000000000000018,139,536928,70023,21.369,9.064,15.024,0.006,2129.906,32.0,49.12083333333334,77.70416666666668,0.5249999999999999,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5410416666666666,0.41088804039906396,2.499999936844688e-05,1.2287815,0.2950562
5.0,0.0,3.0422535211267605,70.35915492957747,142,10003,False,80026,1857,8,526491a15b97474b8bf191955c634177,2020-02-06_13-16-27,1580991387,114.35911393165588,864.4946055412292,28692,diufpc29,134.21.215.107,864.4946055412292,80026,8,0,7912ee8d,1_turn_stacking=3,2.9085044069586883,0.4460378183538609,1.730616489202101,0.020000000000000018,0.020000000000000018,159,615360,80026,29.361,9.62,11.46,0.004,2792.328,32.0,49.186206896551724,78.0096551724138,0.592551724137931,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5436551724137931,0.41088804039906396,2.499999936844688e-05,1.2574974,0.2684272
7.0,0.0,3.306122448979592,68.0952380952381,147,10002,False,90028,2004,9,526491a15b97474b8bf191955c634177,2020-02-06_13-18-20,1580991500,113.82853579521179,978.323141336441,28692,diufpc29,134.21.215.107,978.323141336441,90028,9,0,7912ee8d,1_turn_stacking=3,2.92157212953193,0.4442475824854356,1.7406956375609164,0.020000000000000018,0.020000000000000018,179,693568,90028,20.665,9.573,13.101,0.004,2442.529,32.0,49.06433566433567,78.00699300699301,0.576013986013986,0.9817666625600591,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5385314685314687,0.410888040399064,2.499999936844688e-05,1.2860945,0.2450554
6.0,0.0,3.110344827586207,68.9103448275862,145,10000,False,100028,2149,10,526491a15b97474b8bf191955c634177,2020-02-06_13-20-14,1580991614,114.0853841304779,1092.408525466919,28692,diufpc29,134.21.215.107,1092.408525466919,100028,10,0,7912ee8d,1_turn_stacking=3,2.9323870031328743,0.4426724970416998,1.7441381686632251,0.020000000000000018,0.020000000000000018,199,771680,100028,23.111,9.85,12.338,0.004,2593.554,32.0,49.08611111111111,78.07083333333333,0.5524305555555556,0.981766662560059,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5372916666666667,0.41088804039906396,2.499999936844688e-05,1.1301125,0.20209843
